ip,domain,caa_result
191.13.102.171,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.183.215.28,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.11.57.252,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.46.136.215,dns.google,0 issue "pki.goog";128 issue "pki.goog"
62.115.182.209,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
176.9.1.117,dnsforge.de,0 issue "letsencrypt.org"
201.69.146.179,dns.google,0 issue "pki.goog";128 issue "pki.goog"
208.80.155.112,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
216.239.34.34,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.181.103.39,dns.google,0 issue "pki.goog";128 issue "pki.goog"
168.119.58.167,dot.zeyel.net,0 issue "letsencrypt.org"
82.165.18.116,dns.xosc.org,0 issue "letsencrypt.org"
177.94.169.164,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.139.15.47,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.102.140,dns.google,0 issue "pki.goog";128 issue "pki.goog"
86.134.36.122,dns.ngdempsey.co.uk,0 issuewild ";";0 issue "letsencrypt.org";0 iodef "mailto:ndempo85@gmail.com"
91.230.211.67,dns.east.comss.one,0 issue "comodoca.com"
94.130.191.198,dns.masgalor.de,128 issue "letsencrypt.org"
147.78.178.174,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
201.27.114.140,dns.google,0 issue "pki.goog";128 issue "pki.goog"
221.191.232.251,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.11.58.109,dns.google,0 issue "pki.goog";128 issue "pki.goog"
211.159.227.167,dns.google,0 issue "pki.goog";128 issue "pki.goog"
217.160.68.68,dns.clanless.ovh,0 issue "sectigo.com"
78.142.193.51,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.216.176.210,dns.2tausend19.de,128 issue "letsencrypt.org"
186.178.5.234,dns.google,0 issue "pki.goog";128 issue "pki.goog"
208.80.153.38,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
8.8.8.8,dns.google,0 issue "pki.goog";128 issue "pki.goog"
95.191.166.251,dns.google,0 issue "pki.goog";128 issue "pki.goog"
45.14.106.6,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
91.198.174.8,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
187.11.56.54,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.142.193.52,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
187.113.14.40,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.102.225,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.10.169.203,dns.google,0 issue "pki.goog";128 issue "pki.goog"
5.137.11.26,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.222.222.222,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
212.187.164.154,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
147.78.178.172,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
177.139.93.131,dns.google,0 issue "pki.goog";128 issue "pki.goog"
208.80.153.6,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
201.43.103.93,dns.google,0 issue "pki.goog";128 issue "pki.goog"
92.223.65.71,dns.comss.one,0 issue "comodoca.com"
179.228.251.174,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.183.156.85,dot.dns.lonet.org,0 issue "letsencrypt.org"
104.244.78.244,dot.chaoticlab.io,0 issue "letsencrypt.org"
185.11.247.69,dns.gpio.ml,0 iodef "mailto:admin@gpio.ml";0 issue "letsencrypt.org"
201.43.129.248,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.59.124,dns.google,0 issue "pki.goog";128 issue "pki.goog"
200.148.122.2,dns.google,0 issue "pki.goog";128 issue "pki.goog"
201.69.146.92,dns.google,0 issue "pki.goog";128 issue "pki.goog"
201.43.129.121,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.97.38.253,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.15.58.41,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
185.183.156.85,phdns1.lonet.org,0 issue "letsencrypt.org"
201.42.82.146,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.241.210,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.17.161.43,dns.google,0 issue "pki.goog";128 issue "pki.goog"
171.101.216.45,dns.google,0 issue "pki.goog";128 issue "pki.goog"
217.160.191.192,phdns2.lonet.org,0 issue "letsencrypt.org"
78.142.193.50,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
92.127.220.125,dns.google,0 issue "pki.goog";128 issue "pki.goog"
137.220.55.93,dns.kusoneko.moe,128 issue "letsencrypt.org"
45.9.61.205,dns.7rg.de,128 issue "letsencrypt.org"
62.133.35.17,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
47.254.217.109,alidns.com,0 issue "globalsign.com"
44.199.52.108,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
95.216.244.51,dyndns.hswn.dk,0 iodef "mailto:henrik@hswn.dk";0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
144.76.28.54,dns.glados.whafs.de,0 issuewild "letsencrypt.org";0 issue "letsencrypt.org"
74.208.85.60,phdns3.lonet.org,0 issue "letsencrypt.org"
185.64.79.5,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
193.9.44.160,dns.google,0 issue "pki.goog";128 issue "pki.goog"
51.140.186.154,dns.bouios.com,0 issue "letsencrypt.org";0 issue "digicert.com";0 issue "sectigo.com";0 issue "microsoft.com";0 issue "comodoca.com"
179.177.205.1,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.74.197.168,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.99.116.223,dns.google,0 issue "pki.goog";128 issue "pki.goog"
58.125.243.9,dns.google,0 issue "pki.goog";128 issue "pki.goog"
47.254.217.110,alidns.com,0 issue "globalsign.com"
191.17.98.205,dns.google,0 issue "pki.goog";128 issue "pki.goog"
62.115.182.205,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
179.51.93.14,dns.google,0 issue "pki.goog";128 issue "pki.goog"
104.207.131.136,dot.natalenko.name,0 issue "letsencrypt.org"
77.68.116.22,dot.dns.lonet.org,0 issue "letsencrypt.org"
152.250.195.90,dns.google,0 issue "pki.goog";128 issue "pki.goog"
23.160.161.61,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
189.46.215.227,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.78.99.243,dns.google,0 issue "pki.goog";128 issue "pki.goog"
142.147.91.99,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
52.14.61.41,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
177.68.62.20,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.102.221,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.142.193.116,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
92.127.204.128,dns.google,0 issue "pki.goog";128 issue "pki.goog"
88.99.85.183,dns.masgalor.de,128 issue "letsencrypt.org"
187.10.162.219,dns.google,0 issue "pki.goog";128 issue "pki.goog"
45.160.121.135,dns.google,0 issue "pki.goog";128 issue "pki.goog"
93.115.24.205,dns.comss.one,0 issue "comodoca.com"
187.34.202.151,dns.google,0 issue "pki.goog";128 issue "pki.goog"
45.60.186.33,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.46.7.177,dns.google,0 issue "pki.goog";128 issue "pki.goog"
116.202.176.26,libredns.gr,0 issue "letsencrypt.org"
58.177.115.21,dns.16e.jsl.io,0 issue "letsencrypt.org";0 issue "sectigo.com"
177.207.156.26,dns.google,0 issue "pki.goog";128 issue "pki.goog"
198.54.117.10,safeservedns.com,0 issue "sectigo.com"
210.138.123.110,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
171.224.8.8,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.97.114.105,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.95.255.58,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.78.99.254,dns.google,0 issue "pki.goog";128 issue "pki.goog"
31.151.173.153,dns.lermer.nl,128 issue "letsencrypt.org"
5.180.76.7,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.115.96.48,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.157.13.221,dns.google,0 issue "pki.goog";128 issue "pki.goog"
46.175.236.31,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.184.222.222,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
78.13.18.81,dns.google,0 issue "pki.goog";128 issue "pki.goog"
84.222.56.154,dns.google,0 issue "pki.goog";128 issue "pki.goog"
89.234.156.195,dot.inetdoc.net,128 issue "letsencrypt.org";128 iodef "mailto:caa@inetdoc.net"
108.30.12.237,dot.modcrew.com,0 issue "letsencrypt.org"
187.11.60.178,dns.google,0 issue "pki.goog";128 issue "pki.goog"
191.13.75.20,dns.google,0 issue "pki.goog";128 issue "pki.goog"
93.177.66.108,dot.webnmail.de,0 issue "letsencrypt.org";0 iodef "mailto:admin@webnmail.de"
177.158.130.178,dns.google,0 issue "pki.goog";128 issue "pki.goog"
167.172.143.53,dns.echoserver.org,0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
95.216.244.51,dns.hswn.dk,0 iodef "mailto:henrik@hswn.dk";0 issue "digicert.com; cansignhttpexchanges=yes";0 issuewild "digicert.com; cansignhttpexchanges=yes";0 issue "comodoca.com";0 issue "letsencrypt.org";0 issuewild "comodoca.com";0 issuewild "letsencrypt.org"
95.191.197.106,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.101.202.18,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.110.214.18,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.56.133.230,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.162.57.98,dns.google,0 issue "pki.goog";128 issue "pki.goog"
144.76.28.35,dns.glados.whafs.de,0 issuewild "letsencrypt.org";0 issue "letsencrypt.org"
177.95.112.230,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.221,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
47.254.217.107,alidns.com,0 issue "globalsign.com"
72.188.48.25,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.156.180.107,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.219,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
203.180.146.222,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
168.110.62.65,dns.google,0 issue "pki.goog";128 issue "pki.goog"
14.169.114.15,dns.google,0 issue "pki.goog";128 issue "pki.goog"
177.189.53.76,dns.google,0 issue "pki.goog";128 issue "pki.goog"
189.59.121.100,dns.google,0 issue "pki.goog";128 issue "pki.goog"
194.169.181.35,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
190.232.88.14,dns.google,0 issue "pki.goog";128 issue "pki.goog"
123.16.2.255,dns.google,0 issue "pki.goog";128 issue "pki.goog"
179.177.12.246,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.56.152.214,dns.google,0 issue "pki.goog";128 issue "pki.goog"
87.210.14.108,dns.google,0 issue "pki.goog";128 issue "pki.goog"
82.84.178.154,dns.google,0 issue "pki.goog";128 issue "pki.goog"
171.97.235.52,dns.google,0 issue "pki.goog";128 issue "pki.goog"
89.184.66.152,dnsbh.nix.org.ua,0 issue "letsencrypt.org";0 iodef "mailto:root@nix.org.ua";0 issuewild ";"
152.249.111.212,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.221,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
171.101.216.222,dns.google,0 issue "pki.goog";128 issue "pki.goog"
92.127.225.76,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.37.252.147,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
187.11.55.157,dns.google,0 issue "pki.goog";128 issue "pki.goog"
200.158.165.124,dns.google,0 issue "pki.goog";128 issue "pki.goog"
193.30.122.186,dns.hahnjo.de,0 iodef "mailto:root@hahnjo.de";0 issue "letsencrypt.org"
157.90.239.46,dot.zeyel.net,0 issue "letsencrypt.org"
193.122.146.137,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
147.78.178.173,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.219,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.111,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
101.43.107.252,idns.ruchu.cloud,0 issue "letsencrypt.org"
45.11.45.11,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
179.182.67.12,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.121.126.21,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.10.167.119,dns.google,0 issue "pki.goog";128 issue "pki.goog"
194.29.101.140,dns-uk.su4ka.icu,0 iodef "mailto:admin@su4ka.icu";0 issue "letsencrypt.org"
180.4.189.192,dns.google,0 issue "pki.goog";128 issue "pki.goog"
187.34.235.195,dns.google,0 issue "pki.goog";128 issue "pki.goog"
116.203.72.235,dns.rin.sh,0 issue "letsencrypt.org"
185.37.252.150,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
35.247.39.128,your-dns.run,0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
169.1.243.154,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.37.252.149,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
177.96.44.39,dns.google,0 issue "pki.goog";128 issue "pki.goog"
