host,port,server_name,http_method,http_path,http_code,http_headers,error_data
103.196.38.200,443,query.hdns.io,HEAD,/,404,,
103.196.38.40,443,c.hdns.io,HEAD,/,404,,
103.196.38.38,443,a.hdns.io,HEAD,/,404,,
103.196.38.39,443,b.hdns.io,HEAD,/,404,,
104.16.248.249,443,cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
104.16.249.249,443,cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.141.154.3,443,dns.gi.co.id,HEAD,/,200,,
103.196.38.200,443,dot.hdns.io,HEAD,/,404,,
103.253.27.40,443,doh.sterli.net,HEAD,/,200,,
104.21.22.243,443,freedom.mydns.network,HEAD,/,530,,
104.21.22.243,443,adblock.mydns.network,HEAD,/,530,,
103.62.48.147,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.21.13.53,443,basic.rethinkdns.com,HEAD,/,405,"Strict-Transport-Security: max-age=31536000; includeSubDomains
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.12.211.14,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.2.57.5,443,public00.dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
103.227.141.70,443,dns.disdik.id,HEAD,/,302,,
103.2.57.6,443,public01.dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
103.174.50.18,443,dns.nayemador.com,HEAD,/,302,,
103.13.112.100,443,mumdns.tfaq.cc,HEAD,/,404,,
103.174.50.18,443,nayemador.bdixdns.com,HEAD,/,302,,
103.13.114.172,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.2.57.5,443,public.dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
103.159.93.100,443,doh-lintang.korowelang.id,HEAD,/,302,,
103.29.68.118,443,jp-dns1.bancuh.com,HEAD,/,400,,
103.2.57.6,443,dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
103.127.29.198,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.21.30.162,443,jp.tiarap.org,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.2.57.5,443,dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
103.2.57.6,443,public.dns.iij.jp,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
104.21.49.234,443,basic.bravedns.com,HEAD,/,405,"Strict-Transport-Security: max-age=0; includeSubDomains
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.88.47.112,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.213.237.58,443,dns-a.inspirebroadband.net,HEAD,/,302,,
104.21.49.234,443,free.bravedns.com,HEAD,/,200,"Strict-Transport-Security: max-age=0; includeSubDomains
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
119.3.92.152,443,dnsjsj.youjisoft.com,HEAD,/,302,,
106.75.142.139,443,dns.ivjn.cn,HEAD,/,404,Strict-Transport-Security: max-age=15768000,
106.55.127.112,443,doh.pub,HEAD,/,301,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
106.55.130.227,443,doh.pub,HEAD,/,301,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
1.1.1.1,443,cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
1.1.1.2,443,security.cloudflare-dns.com,HEAD,/,302,"Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
1.1.1.3,443,family.cloudflare-dns.com,HEAD,/,302,"Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.212.225.153,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
106.14.221.10,443,dns.myhamplace.com,HEAD,/,302,,
103.130.69.37,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.230.156.210,443,dns.ashleyjackson.net,HEAD,/,200,,
103.230.156.210,443,dnsServer,HEAD,/,200,,
110.42.214.43,443,edns.elstec.cn,HEAD,/,302,,
103.232.207.2,443,dns.emeraldonion.org,HEAD,/,200,,
103.232.207.3,443,odoh.dns.emeraldonion.org,HEAD,/,200,,
103.232.207.3,443,metrics.dns.emeraldonion.org,HEAD,/,200,,
111.173.115.132,443,dnss.sh501.com,HEAD,/,302,,
103.232.207.2,443,odoh.dns.emeraldonion.org,HEAD,/,200,,
103.232.207.2,443,metrics.dns.emeraldonion.org,HEAD,/,200,,
104.168.204.217,443,hwsrv-592846.hostwindsdns.com,HEAD,/,200,Strict-Transport-Security: max-age=31536000;,
103.232.207.3,443,dns.emeraldonion.org,HEAD,/,200,,
111.206.170.68,443,doh.360.cn,HEAD,/,302,,
111.229.68.53,443,i.233py.com,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
111.206.170.220,443,doh.360.cn,HEAD,/,302,,
111.229.46.231,443,d.gdns.ren,HEAD,/,302,,
111.206.170.77,443,doh.360.cn,HEAD,/,302,,
119.28.74.44,443,doh.xyz,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
119.28.74.44,443,www.doh.xyz,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
1.117.174.35,443,tlsdns.xuanlove.cn,HEAD,/,302,,
111.13.66.229,443,doh.360.cn,HEAD,/,302,,
119.28.92.239,443,dns-query.7hz.cc,HEAD,/,302,,
112.124.101.139,443,dns.zhebk.cn,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
119.3.92.152,443,ecs-119-3-92-152.compute.hwclouds-dns.com,HEAD,/,302,,
111.206.170.78,443,doh.360.cn,HEAD,/,302,,
106.75.20.65,443,onedns.net,HEAD,/,200,Strict-Transport-Security: max-age=63072000; includeSubdomains; preload,
103.130.69.39,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
112.65.69.15,443,doh.360.cn,HEAD,/,302,,
113.31.103.21,443,dnss.sh501.com,HEAD,/,302,,
114.32.179.218,443,truenas.myddns.me,HEAD,/,302,,
111.7.223.98,443,dns.ipv6dns.com,HEAD,/,404,,
116.63.136.113,443,ecs-116-63-136-113.compute.hwclouds-dns.com,HEAD,/,302,,
103.62.50.101,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.242.45.39,443,dns64.dns.google,HEAD,/,302,,
116.228.181.2,443,dns.189ca.cn,HEAD,/,404,,
116.62.204.71,443,dns.zhebk.cn,HEAD,/,302,,
103.242.45.39,443,dns.google,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
1.1.1.1,443,1dot1dot1dot1.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
120.78.219.6,443,idns.kbsml.com,HEAD,/,404,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
1.1.1.1,443,one.one.one.one,HEAD,/,200,"Strict-Transport-Security: max-age=31536000
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
117.135.153.199,443,dns.360.cn,HEAD,/,302,,
111.7.73.60,443,doh.360.cn,HEAD,/,302,,
120.78.173.15,443,dns.infiiinity.xyz,HEAD,/,404,,
1.192.192.206,443,doh.360.cn,HEAD,/,302,,
103.62.49.149,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
1.192.192.207,443,doh.360.cn,HEAD,/,302,,
108.61.161.213,443,doh004.280blocker.net,HEAD,/,200,,
118.190.141.58,443,dns.crownor.com,HEAD,/,302,,
116.106.237.109,443,dns64.dns.google,HEAD,/,302,,
116.106.237.109,443,dns.google,HEAD,/,200,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
116.106.237.109,443,dns.google.com,HEAD,/,302,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
123.60.226.160,443,ecs-123-60-226-160.compute.hwclouds-dns.com,HEAD,/,200,,
103.6.212.123,443,nz01.dns4me.net,HEAD,/,400,,
117.135.153.199,443,pub2.sdns.360.cn,HEAD,/,302,,
103.96.22.54,443,doh-mac-au.mimecast.com,HEAD,/,404,,
124.71.12.232,443,ecs-124-71-12-232.compute.hwclouds-dns.com,HEAD,/,302,,
121.37.4.233,443,ecs-121-37-4-233.compute.hwclouds-dns.com,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
116.204.183.61,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
122.146.112.22,443,dns.1113.tw,HEAD,/,302,,
122.9.162.85,443,dns.suadnim.com,HEAD,/,302,,
103.242.45.39,443,dns.google.com,HEAD,/,302,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
122.194.14.149,443,dns.ipv6dns.com,HEAD,/,404,,
122.9.162.85,443,ecs-122-9-162-85.compute.hwclouds-dns.com,HEAD,/,302,,
103.175.234.194,443,dns.strata.gurupannu.com,HEAD,/,302,,
116.110.254.138,443,dns.firefenix.cf,HEAD,/,302,,
1.0.0.1,443,1dot1dot1dot1.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
103.76.146.76,443,dns.rjoc.me,HEAD,/,302,,
121.36.71.244,443,ecs-121-36-71-244.compute.hwclouds-dns.com,HEAD,/,302,,
120.53.80.136,443,doh.pub,HEAD,/,301,Strict-Transport-Security: max-age=31536000; includeSubDomains; preload,
121.36.26.72,443,dns.auro.ink,HEAD,/,302,,
119.3.120.14,443,ecs-119-3-120-14.compute.hwclouds-dns.com,HEAD,/,200,,
124.219.110.49,443,doh.viatech.com.tw,HEAD,/,302,,
103.175.234.194,443,no-rdns.stratagem.host,HEAD,/,302,,
123.125.81.60,443,dns.360.cn,HEAD,/,302,,
121.36.26.72,443,ecs-121-36-26-72.compute.hwclouds-dns.com,HEAD,/,302,,
103.96.20.54,443,doh-equ-au.mimecast.com,HEAD,/,404,,
121.89.194.240,443,alidns.com,HEAD,/,404,,
104.128.62.173,443,doh.sb,HEAD,/,301,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.96.22.54,443,doh.mimecast.com,HEAD,/,404,,
102.130.49.135,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
103.96.20.54,443,doh.mimecast.com,HEAD,/,404,,
104.238.154.123,443,dns.carter.me,HEAD,/,302,,
119.3.218.92,443,dnsenc.com,HEAD,/,200,Strict-Transport-Security: max-age=63072000,
123.125.81.60,443,pub2.sdns.360.cn,HEAD,/,302,,
103.175.234.194,443,homerouter-dns.strata.gurupannu.com,HEAD,/,302,,
123.125.81.6,443,pub1.sdns.360.cn,HEAD,/,302,,
123.6.48.18,443,doh.360.cn,HEAD,/,302,,
119.3.218.92,443,ecs-119-3-218-92.compute.hwclouds-dns.com,HEAD,/,200,Strict-Transport-Security: max-age=63072000,
104.197.124.6,443,doh.chadp.me,HEAD,/,404,,
128.199.154.113,443,dns.dnsadblock.com,HEAD,/,405,,
128.199.132.254,443,sg-dns1.bancuh.com,HEAD,/,400,,
123.125.81.6,443,doh.360.cn,HEAD,/,302,,
104.21.6.78,443,doh.crypto.sx,HEAD,/,404,"Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
124.70.72.126,443,ecs-124-70-72-126.compute.hwclouds-dns.com,HEAD,/,302,,
103.161.164.164,443,dns1.gms.net.id,HEAD,/,302,,
112.213.33.141,443,cleandns.highsecurity.net.au,HEAD,/,200,,
128.199.255.156,443,dns.r41.co,HEAD,/,404,,
103.2.186.194,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.238.181.28,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
128.199.255.199,443,www.dns.gamban.com,HEAD,/,404,,
128.199.94.194,443,dns.slinkyman.net,HEAD,/,404,,
128.199.94.194,443,dns2.slinkyman.net,HEAD,/,404,,
103.73.64.132,443,au.ahadns.net,HEAD,/,404,,
128.199.186.6,443,sg-dns2.bancuh.com,HEAD,/,400,,
103.161.165.165,443,dns2.gms.net.id,HEAD,/,302,,
124.70.72.126,443,mydns.codinglink.tech,HEAD,/,302,,
104.219.41.229,443,dns.woosites.net,HEAD,/,302,,
103.73.64.132,443,doh.au.ahadns.net,HEAD,/,301,Strict-Transport-Security: max-age=63072000,
128.199.255.199,443,0.sgp1.dns.gamban.com,HEAD,/,404,,
104.36.148.181,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
128.199.255.199,443,dns.gamban.com,HEAD,/,404,,
104.219.41.229,443,dns.minhajulhaque.com,HEAD,/,302,,
119.252.72.43,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.225.11.200,443,dns.securd.com,HEAD,/,404,,
146.112.41.2,443,doh.familyshield.opendns.com,HEAD,/,501,,
125.228.51.159,443,dns.david888.com,HEAD,/,302,,
13.72.215.74,443,alidns.com,HEAD,/,404,,
128.199.154.79,443,dns.scapetical.com,HEAD,/,200,Strict-Transport-Security: max-age=63072000,
107.182.235.110,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
13.75.67.45,443,dns.billyau.net,HEAD,/,302,,
104.225.12.146,443,dns2-dfw.securd.com,HEAD,/,404,,
104.199.26.56,443,mynoads.ddns.net,HEAD,/,302,,
119.252.80.57,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.18.26.211,443,chrome.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
104.16.248.249,443,mozilla.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
104.16.249.249,443,mozilla.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
116.90.72.196,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
133.242.73.246,443,dns01.klink.co.jp,HEAD,/,403,,
104.225.11.245,443,dns1-iad.securd.com,HEAD,/,404,,
129.154.53.149,443,dns.kr.chavy.dev,HEAD,/,302,,
104.248.104.66,443,doh.cloudveil.org,HEAD,/,404,,
129.154.49.196,443,dns.desi,HEAD,/,302,,
104.225.11.245,443,dns.securd.com,HEAD,/,404,,
129.154.49.196,443,www.dns.desi,HEAD,/,302,,
104.18.27.211,443,chrome.cloudflare-dns.com,HEAD,/,200,"Strict-Transport-Security: max-age=31536000
Expect-CT: max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",
102.37.108.139,443,dns.techwraiths.co.za,HEAD,/,302,,
102.37.118.243,443,dns.elwan.one,HEAD,/,302,,
139.59.218.207,443,sg-dns2.bancuh.com,HEAD,/,400,,
109.220.38.234,443,dns.louisvolland.codes,HEAD,/,302,,
107.191.51.151,443,dns.absence-of-god.club,HEAD,/,302,,
104.248.56.21,443,dns.danielnegri.com,HEAD,/,403,Strict-Transport-Security: max-age=31536000; includeSubDomains,
104.225.12.35,443,dns.securd.com,HEAD,/,404,,
104.225.12.35,443,dns1-dfw.securd.com,HEAD,/,404,,
118.101.106.171,443,sunabe.ddns.net,HEAD,/,200,,
139.59.192.13,443,dns.hubservices.vn,HEAD,/,302,,
129.211.209.223,443,dns.qqcn.xyz,HEAD,/,200,Strict-Transport-Security: max-age=31536000,
146.112.41.2,443,dns.umbrella.com,HEAD,/,501,,
119.252.93.133,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.244.209.134,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.225.11.200,443,dns2-iad.securd.com,HEAD,/,404,,
129.154.35.77,443,sbdns.co.in,HEAD,/,302,,
102.68.86.68,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.248.198.22,443,dns2.ryan-palmer.com,HEAD,/,404,,
140.238.36.23,443,dns1.exileotaku.org,HEAD,/,302,,
13.76.38.75,443,dns.kawpad.tk,HEAD,/,302,,
129.154.49.196,443,up.dns.desi,HEAD,/,302,,
140.83.85.3,443,pomelo.ddns.net,HEAD,/,302,,
104.225.12.146,443,dns.securd.com,HEAD,/,404,,
140.83.36.204,443,dns.edennet.ga,HEAD,/,302,,
138.199.24.210,443,doh1.blahdns.com,HEAD,/,403,,
13.124.186.64,443,www.dns.wakgood.net,HEAD,/,302,,
138.199.24.210,443,doh1.b-cdn.net,HEAD,/,403,,
119.252.95.133,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
119.252.86.27,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
140.238.26.177,443,mc.dns.nomu.pw,HEAD,/,302,,
138.2.86.147,443,dns.kbiz.top,HEAD,/,302,,
129.154.226.9,443,dns.arpan.ovh,HEAD,/,200,,
134.209.155.131,443,doh.intama.online,HEAD,/,302,,
139.180.218.238,443,dns.tp53.ml,HEAD,/,405,,
138.3.219.11,443,dns.ellichua.com,HEAD,/,302,,
119.224.127.171,443,dns.sainternet.xyz,HEAD,/,405,,
119.224.127.171,443,default-rdns.vocus.co.nz,HEAD,/,405,,
104.225.11.141,443,dns04-niad3-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
142.202.107.1,443,dns1.securd.com,HEAD,/,404,,
139.59.106.60,443,dns.itpsru.in.th,HEAD,/,302,,
138.3.219.11,443,www.dns.ellichua.com,HEAD,/,302,,
142.202.107.1,443,dns.securd.com,HEAD,/,404,,
104.225.11.219,443,doh-securityedge.comcast.com,HEAD,/,501,,
139.59.106.60,443,www.dns.itpsru.in.th,HEAD,/,302,,
104.225.12.125,443,doh-securityedge.comcast.com,HEAD,/,501,,
140.114.26.51,443,dns.jjhe.info,HEAD,/,302,,
139.59.219.245,443,sg-dns1.bancuh.com,HEAD,/,400,,
139.99.88.78,443,dns.nayemador.com,HEAD,/,302,,
140.207.198.6,443,pub1.sdns.360.cn,HEAD,/,302,,
140.207.198.6,443,doh.360.cn,HEAD,/,302,,
104.225.11.75,443,dns04-niad3-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
13.113.218.223,443,7agb96-dns.komeho.info,HEAD,/,302,,
146.112.41.2,443,doh.opendns.com,HEAD,/,501,,
104.225.12.198,443,dns02-ndfw2-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
101.198.193.29,443,doh.360.cn,HEAD,/,302,,
140.238.246.144,443,dns.rohanjain.in,HEAD,/,302,,
104.225.12.149,443,doh-securityedge.comcast.com,HEAD,/,501,,
146.112.41.2,443,dns.opendns.com,HEAD,/,501,,
139.162.86.249,443,berd.moe,HEAD,/,410,,
146.112.41.2,443,doh.sandbox.opendns.com,HEAD,/,501,,
104.225.12.149,443,dns02-ndfw2-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
146.112.41.2,443,doh.umbrella.com,HEAD,/,501,,
132.145.125.32,443,dns.mikeliu.org,HEAD,/,302,,
146.112.41.2,443,familyshield.opendns.com,HEAD,/,501,,
146.112.41.2,443,sandbox.opendns.com,HEAD,/,501,,
146.112.41.3,443,dns.opendns.com,HEAD,/,501,,
146.112.41.3,443,dns.umbrella.com,HEAD,/,501,,
146.112.41.3,443,doh.familyshield.opendns.com,HEAD,/,501,,
140.238.35.176,443,dns.edison42.dev,HEAD,/,302,,
104.225.12.208,443,dns04-ndfw2-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
140.238.10.79,443,frog.dns.qwer.pw,HEAD,/,302,,
13.124.186.64,443,dns.wakgood.net,HEAD,/,302,,
146.112.41.3,443,doh.opendns.com,HEAD,/,501,,
146.112.41.3,443,doh.sandbox.opendns.com,HEAD,/,501,,
146.112.41.3,443,doh.umbrella.com,HEAD,/,501,,
104.225.8.85,443,dns02-niad3-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
104.225.12.125,443,dns04-ndfw2-c2szps.001.prd.c2szps.spscld.net,HEAD,/,501,,
107.191.46.177,443,cubedns.com,HEAD,/,200,,
146.112.41.3,443,familyshield.opendns.com,HEAD,/,501,,
103.57.251.20,443,dns.nextdns.io,HEAD,/,405,Strict-Transport-Security: max-age=63072000; includeSubDomains; preload,
104.225.11.141,443,doh-securityedge.comcast.com,HEAD,/,501,,
132.145.83.120,443,tiger.dns.qwer.pw,HEAD,/,302,,
