ip,domain,caa_result
210.128.97.78,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
94.36.233.135,dns.google,0 issue "pki.goog";128 issue "pki.goog"
202.232.2.39,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
208.80.155.112,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
185.37.252.150,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.130.1.20,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
203.180.146.208,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
202.232.2.38,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
45.125.0.26,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
202.232.2.30,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.181,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.222.222.222,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
202.232.2.3,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
79.177.113.214,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.219,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.105,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
213.32.246.155,dns.google,0 issue "pki.goog";128 issue "pki.goog"
202.232.2.2,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
62.115.182.223,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
62.115.42.147,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
62.115.42.147,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
147.78.178.173,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.138.123.110,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
92.223.109.31,dns.east.comss.one,0 issue "comodoca.com"
172.65.30.226,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.216,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.37.252.150,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.130.0.72,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.170,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
155.248.248.255,dns.sachink.net,0 issuewild "letsencrypt.org"
216.239.34.34,dns.google,0 issue "pki.goog";128 issue "pki.goog"
202.5.221.131,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.128.97.222,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
104.128.62.173,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
178.62.55.244,dns.google,0 issue "pki.goog";128 issue "pki.goog"
77.85.33.102,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.217,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
101.200.190.126,alidns.com,0 issue "globalsign.com"
216.98.99.110,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
202.232.2.32,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
89.169.66.169,dns.google,0 issue "pki.goog";128 issue "pki.goog"
165.22.61.129,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.130.0.62,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
198.35.26.6,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
87.228.229.146,dns.google,0 issue "pki.goog";128 issue "pki.goog"
202.5.221.130,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.128.97.83,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
203.180.146.9,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.74,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.138.123.76,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
194.169.181.38,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
185.15.58.11,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
210.128.97.86,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
78.142.193.53,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.128.97.84,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
23.105.231.66,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.138.123.107,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
23.160.161.61,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
147.78.178.174,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.37.252.147,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.37.252.147,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
185.37.252.148,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.205,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.0.70,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.0.71,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.174,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
203.180.146.215,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.184.222.222,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
203.180.146.203,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
47.254.217.111,alidns.com,0 issue "globalsign.com"
210.128.97.203,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.0.1,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
216.128.181.13,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
112.74.0.100,alidns.com,0 issue "globalsign.com"
210.130.0.12,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
219.93.40.126,dns1.mpbp.my,0 issue "letsencrypt.org"
203.180.146.221,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
171.239.188.137,dns.google,0 issue "pki.goog";128 issue "pki.goog"
208.80.154.70,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
8.8.4.4,8888.google,0 issue "pki.goog";128 issue "pki.goog"
168.110.62.65,dns.google,0 issue "pki.goog";128 issue "pki.goog"
202.232.2.33,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.37.252.146,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
116.106.237.109,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.28,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
203.180.146.11,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
45.11.45.11,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
23.159.160.55,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
147.78.178.181,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
171.97.12.246,dns.google,0 issue "pki.goog";128 issue "pki.goog"
185.118.196.55,public-dns-c.dns.srvfarm.net,0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
46.175.236.31,dns.google,0 issue "pki.goog";128 issue "pki.goog"
47.254.217.107,alidns.com,0 issue "globalsign.com"
62.115.182.205,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
78.142.193.50,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.71.138.138,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
210.138.123.77,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
194.169.181.37,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
46.105.230.57,doh.wewitro.net,0 issue "comodoca.com";0 issuewild "comodoca.com"
137.117.187.53,dns.comss.one,0 issue "comodoca.com"
185.150.117.6,dns.comss.one,0 issue "comodoca.com"
87.210.14.108,dns.google,0 issue "pki.goog";128 issue "pki.goog"
194.169.181.35,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
203.180.146.10,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.128.97.215,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
62.115.182.205,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
62.115.182.209,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
216.239.36.36,dns.google,0 issue "pki.goog";128 issue "pki.goog"
168.95.192.1,dns.hinet.net,0 issuewild ";";0 issue "pki.hinet.net"
210.130.0.20,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
78.142.193.54,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
119.3.218.92,dnsenc.com,0 iodef "mailto:hi@carrnot.com";0 issue "digicert.com";0 issuewild ";"
78.142.193.116,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
62.133.35.15,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
216.98.99.108,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.170,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
147.78.178.173,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.13,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
92.223.65.71,dns.comss.one,0 issue "comodoca.com"
217.160.68.68,dns.clanless.ovh,0 issue "sectigo.com"
78.142.193.54,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
91.198.174.7,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
185.15.58.41,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
210.128.97.213,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
60.205.126.114,alidns.com,0 issue "globalsign.com"
186.178.5.234,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.204,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
121.89.194.240,alidns.com,0 issue "globalsign.com"
142.147.91.99,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
185.37.252.148,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
62.115.182.209,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
85.101.3.51,dns.google,0 issue "pki.goog";128 issue "pki.goog"
147.78.178.171,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.130.0.61,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
81.90.180.173,dns.comss.one,0 issue "comodoca.com"
210.128.97.221,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.37.252.149,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
124.121.182.8,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.142.193.116,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.138.123.121,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.0.60,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
157.119.101.188,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
185.118.197.55,public-dns-d.dns.srvfarm.net,0 issuewild "letsencrypt.org";0 issue "letsencrypt.org"
210.130.232.1,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
16.162.229.103,alidns.com,0 issue "globalsign.com"
5.135.155.46,doh.j2b.fr,0 issue "letsencrypt.org"
47.93.251.179,alidns.com,0 issue "globalsign.com"
195.150.49.32,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.27,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
165.22.61.129,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
221.191.232.251,dns.google,0 issue "pki.goog";128 issue "pki.goog"
78.142.193.52,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
203.180.146.206,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.1.1,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.1.3,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
142.147.91.99,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.128.97.89,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.64.79.5,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.130.1.13,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
176.9.1.117,dnsforge.de,0 issue "letsencrypt.org"
194.169.181.34,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
8.142.213.35,alidns.com,0 issue "globalsign.com"
51.140.186.154,dns.bouios.com,0 issue "letsencrypt.org";0 issue "digicert.com";0 issue "sectigo.com";0 issue "microsoft.com";0 issue "comodoca.com"
203.180.146.12,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.172,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
191.33.203.238,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.85,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
171.97.235.158,dns.google,0 issue "pki.goog";128 issue "pki.goog"
203.180.146.26,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.128.97.205,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.128.97.206,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
198.35.26.14,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
210.128.97.91,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
147.78.178.171,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
78.13.18.81,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.130.0.21,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
185.37.252.146,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
52.14.61.41,dns.stevenz.net,0 iodef "mailto:caa-report@stevenz.net";0 issue "letsencrypt.org";0 issuewild "letsencrypt.org"
212.187.164.154,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.218,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
23.159.160.55,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
203.180.146.216,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.130.0.13,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
210.128.97.88,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
203.180.146.222,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
62.133.35.17,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
210.128.97.76,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
103.102.166.14,wikimedia-dns.org,0 issue "letsencrypt.org";0 iodef "mailto:dns-admin@wikimedia.org"
210.128.97.75,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
47.254.217.112,alidns.com,0 issue "globalsign.com"
174.138.29.175,dot.tiar.app,128 issue "letsencrypt.org";128 issuewild ";"
210.128.97.201,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
78.142.193.51,dns.sb,0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "sectigo.com";0 iodef "mailto:admin@dns.sb"
78.142.193.51,doh.sb,0 issue "sectigo.com";0 issue "digicert.com";0 issue "letsencrypt.org";0 issue "buypass.no";0 issue "globalsign.com";0 iodef "mailto:admin@dns.sb"
210.130.0.2,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
47.254.217.108,alidns.com,0 issue "globalsign.com"
179.228.251.174,dns.google,0 issue "pki.goog";128 issue "pki.goog"
210.128.97.202,dns.iij.jp,0 iodef "mailto:dns-managers@iij.ad.jp";0 issue "globalsign.com";0 issuewild "globalsign.com"
169.1.243.154,dns.google,0 issue "pki.goog";128 issue "pki.goog"
